sep=;
Nama;Kategori;Harga Beli;Harga Jual;Stok;Stok Minimum;Satuan;SKU;Barcode
Indomie Goreng V1;Makanan;1400;1500;1;1;pcs;MAK-0001;8990000000001
Teh Kotak Rasa-2 V2;Minuman;1484;1637;54;7;kg;MIN-0002;8990000000002
Biskuit 150g Rasa-3 V3;Snack;1568;1774;107;13;ml;SNA-0003;8990000000003
Kecap Asin Rasa-4 V4;Bumbu;1652;1911;160;19;pcs;BUM-0004;8990000000004
Minyak Goreng 2L Rasa-5 V5;Sembako;1736;2048;213;25;kg;SEM-0005;8990000000005
Susu UHT Vanila V6;Susu;1820;2185;26;6;ml;SUS-0006;8990000000006
Sikat Gigi Rasa-7 V7;Perawatan;1904;2322;79;12;pcs;PER-0007;8990000000007
Tali Rasa-8 V8;Lain-lain;1988;2459;132;18;kg;LAI-0008;8990000000008
Pemutih Rasa-9 V9;Rumahan;2072;2596;185;24;ml;RUM-0009;8990000000009
Otak-otak Rasa-1 V10;Beku;2156;2733;238;5;pcs;BEK-0010;8990000000010
Indomie Goreng V11;Makanan;2240;2870;51;11;kg;MAK-0011;8990000000011
Teh Kotak Rasa-3 V12;Minuman;2324;3007;104;17;ml;MIN-0012;8990000000012
Biskuit 150g Rasa-4 V13;Snack;2408;3144;157;23;pcs;SNA-0013;8990000000013
Kecap Asin Rasa-5 V14;Bumbu;2492;3281;210;4;kg;BUM-0014;8990000000014
Minyak Goreng 2L Rasa-6 V15;Sembako;2576;3418;23;10;ml;SEM-0015;8990000000015
Susu UHT Vanila V16;Susu;2660;3555;76;16;pcs;SUS-0016;8990000000016
Sikat Gigi Rasa-8 V17;Perawatan;2744;3692;129;22;kg;PER-0017;8990000000017
Tali Rasa-9 V18;Lain-lain;2828;3829;182;3;ml;LAI-0018;8990000000018
Pemutih Rasa-1 V19;Rumahan;2912;3966;235;9;pcs;RUM-0019;8990000000019
Otak-otak Rasa-2 V20;Beku;2996;4103;48;15;kg;BEK-0020;8990000000020
Indomie Goreng V21;Makanan;3080;4240;101;21;ml;MAK-0021;8990000000021
Teh Kotak Rasa-4 V22;Minuman;3164;4377;154;2;pcs;MIN-0022;8990000000022
Biskuit 150g Rasa-5 V23;Snack;3248;4514;207;8;kg;SNA-0023;8990000000023
Kecap Asin Rasa-6 V24;Bumbu;3332;4651;20;14;ml;BUM-0024;8990000000024
Minyak Goreng 2L Rasa-7 V25;Sembako;3416;4788;73;20;pcs;SEM-0025;8990000000025
Susu UHT Vanila V26;Susu;3500;4925;126;1;kg;SUS-0026;8990000000026
Sikat Gigi Rasa-9 V27;Perawatan;3584;5062;179;7;ml;PER-0027;8990000000027
Tali Rasa-1 V28;Lain-lain;3668;5199;232;13;pcs;LAI-0028;8990000000028
Pemutih Rasa-2 V29;Rumahan;3752;5336;45;19;kg;RUM-0029;8990000000029
Otak-otak Rasa-3 V30;Beku;3836;5473;98;25;ml;BEK-0030;8990000000030
Indomie Goreng V31;Makanan;3920;5610;151;6;pcs;MAK-0031;8990000000031
